Horizon,Model,MSE
1,SimpleRNN,435.71164695217294
1,LSTM,656.814155077517
5,SimpleRNN,1200.444806746258
5,LSTM,1123.0310346275555
10,SimpleRNN,1956.13068187135
10,LSTM,2117.1197308950295
