Model,Horizon,MSE,RMSE,MAE,MAPE (%)
SimpleRNN,1 Day,192.29657099947613,13.86710391536301,8.619550260233217,2.7419958937610103
LSTM,1 Day,528.6922074667938,22.99330788439962,15.799487423670884,5.029548901288565
SimpleRNN,5 Day,985.3035170306657,31.389544708878237,21.648687697412836,6.745187748381282
LSTM,5 Day,965.5165948165115,31.07276290928297,22.10132645893047,6.9778582318407265
SimpleRNN,10 Day,2283.669702011702,47.78775682129997,32.60789555193235,10.192545897067628
LSTM,10 Day,2096.8109696216848,45.79094855560086,31.425086399299783,9.786669842336938
